model_en,Australia,Austria,Brazil,Canada,Czech Republic,Denmark,Finland,France,Germany,Hungary,India,Ireland,Italy,Luxembourg,Mexico,Netherlands,Norway,Philippines,Poland,Portugal,Russia,Spain,Sweden,Thailand,United States
24-inch iMac,1370.7232005842925,1635.6247503185105,3105.797179150406,1258.2426880164376,1735.4957085090232,1753.4142234370595,1692.0645277622134,1635.6247503185105,1635.6247503185105,1673.3497972524535,1607.7126671391602,1692.0645277622134,1692.0645277622134,1581.555443527443,1634.2649727551534,1635.6247503185105,1726.5910139923776,1441.120356888407,1681.713585866306,1692.0645277622134,1723.0911425402242,1635.6247503185105,1757.3465491482063,1288.6752424206243,1299.0
AirPods Max,648.9100354530168,710.0124002417826,,612.9900274951875,,,,710.0124002417826,691.6130327951355,,803.1858945924579,710.0124002417826,710.0124002417826,,668.3123634070523,,,,,,,710.0124002417826,,,549.0
AirPods Pro,288.00345288737896,314.93395813586227,529.2508517683998,258.8879576969406,333.0287895506917,333.68739743298084,314.93395813586227,314.93395813586227,314.93395813586227,309.8543421679528,333.87861060688147,314.93395813586227,314.93395813586227,304.5264631752434,292.6641264383464,314.93395813586227,337.63944616332304,291.96369982101936,308.9366478521865,314.93395813586227,331.25661706346796,314.93395813586227,351.0298358567377,270.1111370593532,249.0
AirPods(2nd generation),158.07708316374936,168.1905367822347,291.00855437348827,140.85393443085826,173.13842419713603,171.32017812725576,168.1905367822347,168.1905367822347,168.1905367822347,164.20823673847204,172.97325609754103,168.1905367822347,168.1905367822347,162.62557472628558,160.94331607269623,168.1905367822347,163.73819295545766,149.77991004827476,160.52833022903846,168.1905367822347,165.56203069718748,168.1905367822347,175.2402466953041,149.8948591999747,129.0
AirPods(3rd generation),201.3858730716259,224.63031422593758,,188.06754373729117,227.95797803264085,235.05310533137214,224.63031422593758,224.63031422593758,224.63031422593758,232.38300949269706,248.06242153523323,224.63031422593758,224.63031422593758,217.20283951434627,219.4858984574296,224.63031422593758,224.71655446990394,214.0547739181456,234.73248904061248,224.63031422593758,218.58429833439723,224.63031422593758,230.1744933082521,203.96514909174914,179.0
Apple Pencil (2nd generation),143.64081986112384,152.38739909799787,282.1847655810841,132.98499954645277,159.43353573825982,166.7678261841046,152.38739909799787,152.38739909799787,152.38739909799787,154.91167681744133,146.15569701265093,152.38739909799787,152.38739909799787,147.35297095001957,160.94331607269623,152.38739909799787,169.27141464843518,155.6230794909903,153.10791434788106,152.38739909799787,152.30646378788504,152.38739909799787,164.2533973727145,134.87533423003737,129.0
Apple TV 4K,179.73147811768763,224.63031422593758,423.36538625955023,180.19860885288568,227.95797803264085,227.46585209278686,224.63031422593758,224.63031422593758,224.63031422593758,223.08644957166638,253.42593335221125,224.63031422593758,224.63031422593758,217.20283951434627,219.4858984574296,224.63031422593758,224.71655446990394,214.0547739181456,222.36512923868347,224.63031422593758,225.21208178904845,224.63031422593758,219.1876439856625,201.26163459716042,179.0
Apple TV HD,,179.47849227097527,352.77507592031714,,191.41160880897098,197.11683913844573,179.47849227097527,,,185.90020988754364,213.19959472487614,,,173.54102768389774,,179.47849227097527,190.83968696187821,175.10031096670875,185.26304983289646,179.47849227097527,185.44538106114115,,186.2270960178937,168.21867966329825,
Apple Watch SE,309.6578478413172,337.5098691133434,670.4314724468659,290.36369723456255,365.0068626214029,348.86190391015145,348.797824602084,337.5098691133434,337.5098691133434,340.84287523805506,400.92250831910667,337.5098691133434,348.797824602084,326.3573690904677,365.84235441926313,337.5098691133434,371.51631367134877,311.4409312967378,333.6713674560445,348.797824602084,331.25661706346796,337.5098691133434,351.0298358567377,297.3865944047594,279.0
Apple Watch Series 3,215.82213637425141,247.20622520341877,458.66054142916676,195.93647862169666,250.7994587974345,257.814865047128,258.4941806921593,247.20622520341877,247.20622520341877,241.67956941372773,280.24349243710134,247.20622520341877,258.4941806921593,239.03374542957056,243.8786411177352,247.20622520341877,258.59342197792967,223.79338965600482,247.0998488425415,258.4941806921593,238.4676486983509,247.20622520341877,252.14819195343128,207.26944458513535,199.0
